Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Супруненко,Федір,Романович,Чоловіча,1999-05-24,Будник,місто Копичинці,"вулиця Олексіївська, буд. 2, Ялта, 24378",094 113 60 28,ldatsenko@example.org
Кащенко,Марина,Олегівна,Жіноча,1979-02-17,Кухар,хутір Путивль,"проспект Богуна, буд. 7 кв. 7, Судак, 02153",072 998-20-31,viktor68@example.com
Аврамчук,Амвросій,Арсенович,Чоловіча,1992-01-16,Дизайнер,хутір Соснівка,"вулиця Дениса Максишка, буд. 502 кв. 502, Гайворон, 99355",+380 (05) 795-99-15,onysym72@example.net
Вовк,Ірина,Арсенівна,Жіноча,1997-01-29,Ветеринар,селище Бердичів,"площа Перепечка, буд. 9 кв. 016, Галич, 83645",+380 58 008-13-81,pbabiichuk@example.com
Піддубний,Олекса,Стефанович,Чоловіча,1989-04-09,Громадський діяч,хутір Новогродівка,"узвіз Флотський 3-й, буд. 28 кв. 8, Дніпро, 85202",+380 46 904-53-01,larysa65@example.com
Вахній,Ростислав,Яремович,Чоловіча,1960-10-20,Краєзнавець,місто Генічеськ,"узвіз Чорноморський, буд. 8 кв. 130, Сіверськодонецьк, 81950",+380 97 178 88 40,jbashtan@example.com
Теличенко,Пріска,Гаврилівна,Жіноча,1981-03-30,Ветеринар,хутір Миколаїв,"парк Лінійна, буд. 243, Добромиль, 17411",+380 56 807-36-65,olena06@example.org
Василевич,Ганна,Юхимівна,Жіноча,1957-10-07,Мінералог,місто Ланівці,"шосе Китобійний 2-й, буд. 052 кв. 5, Коростень, 86358",+380 48 048-02-83,azardakhno@example.com
Алексюк,Леон,Омелянович,Чоловіча,1940-02-27,Сантехнік,хутір Хорол,"провулок Аеропортівський 2-й, буд. 01 кв. 204, Волочиськ, 92481",603 56 50,oksana00@example.com
Свириденко,Азар,Геннадійович,Чоловіча,2008-02-04,Хореограф,селище Соснівка,"площа Чайкова, буд. 56, Добромиль, 32667",061 112-48-80,hanna41@example.com
Титаренко,Костянтин,Панасович,Чоловіча,1979-01-07,Швачка,село Зоринськ,"провулок Бейтельсбахера, буд. 387 кв. 503, Інкерман, 62788",583-60-59,qfurs@example.org
Архипенко,Стефан,Венедиктович,Чоловіча,1994-09-22,Електрослюсар,місто Дергачі,"шосе Світлий, буд. 14, Сватове, 02885",+380 35 353 60 31,viktoriia16@example.org
Дашкевич,Антон,Юстимович,Чоловіча,2001-07-11,Хімік,місто Ніжин,"проспект Локальна, буд. 207 кв. 31, Докучаєвськ, 54118",534-34-08,rdemianchuk@example.com
Абрагамовська,Святослава,Васильівна,Жіноча,1947-04-07,Скульптор,місто Тульчин,"узвіз Панченка, буд. 147 кв. 45, Сватове, 16382",+380 27 526-42-34,prokhiravramchuk@example.com
Єщенко,Єва,Валентинівна,Жіноча,2002-12-15,Хореограф,місто Алушта,"площа Пересипська 3-тя, буд. 40, Петрово-Красносілля, 38600",751-70-98,kolodubavhustyn@example.org
Височан,Світлана,Ростиславівна,Жіноча,1957-12-17,Штукатур,місто Токмак,"узвіз Таїрова, буд. 002, Корюківка, 97378",485 76 89,khaidenko@example.com
Єщенко,Віра,Богодарівна,Жіноча,1987-08-28,Візажист,селище Луганськ,"набережна Джинестрівська, буд. 5 кв. 737, Шахтарськ, 33951",679-06-07,semen95@example.net
Швачко,Гліб,Володимирович,Чоловіча,1991-01-14,Пілот,хутір Суми,"парк Ф. Пішеніна, буд. 037, Берестин, 76055",+380 71 315-62-95,ipryimak@example.org
Колесниченко,Августин,Ігнатович,Чоловіча,1967-10-18,Зоолог,село Баштанка,"вулиця 8-ма Лінія Дачі Ковалевського, буд. 19 кв. 65, Острог, 32208",079 440 98 45,artem71@example.net
Євдокименко,Станіслав,Демидович,Чоловіча,1962-01-06,Диригент,хутір Горлівка,"сквер Сільськогосподарський, буд. 30, Жданівка, 02958",641 26 62,ostap41@example.net
Пилипенко,Варвара,Азарівна,Жіноча,1957-07-12,Намотувальник,селище Армянськ,"узвіз Європейська, буд. 05, Теребовля, 69497",+380 (53) 273-27-16,ebabiak@example.org
Оробець,Данна,Демʼянівна,Жіноча,1950-07-27,Історик,село Івано-Франківськ,"сквер Ламаний, буд. 25, Апостолове, 29100",+380 (37) 864-21-57,pylyporlyk@example.com
Засуха,Микита,Венедиктович,Чоловіча,1983-08-22,Музичний редактор,селище Заводське,"вулиця Вчительської, 2-й, буд. 71 кв. 893, Мелітополь, 04243",+380 (81) 011-47-60,veniiamyntsymbaliuk@example.com
Хмара,Спас,Михайлович,Чоловіча,1951-07-15,Графік,хутір Красноперекопськ,"провулок Юрія Яновського, буд. 966, Луцьк, 18356",042 142-50-86,chmilviktoriia@example.com
Лубенець,Віталій,Леопольдович,Чоловіча,1978-01-31,Сценарист,село Севастополь,"сквер Елеваторна, буд. 1, Сіверськодонецьк, 80633",464 38 97,olena44@example.net
Дерегус,Анастасія,Петрівна,Жіноча,1971-10-27,Мікробіолог,місто Алчевськ,"узвіз Львівська, буд. 89 кв. 4, Звенигородка, 20517",+380 (39) 192-27-75,hkonoplia@example.org
Байдак,Марта,Опанасівна,Жіноча,1980-04-28,Гірник,село Балаклія,"провулок Авіаторів, буд. 084, Біляївка, 50083",203 05 26,marynacharnysh@example.net
Яременко,Віталій,Мартинович,Чоловіча,1983-02-22,Менеджер,місто Новодружеськ,"шосе Старорізнична, буд. 523, Приморськ, 21033",+380 (38) 309-69-28,vyshniakdan@example.org
Фаренюк,Антон,Ростиславович,Чоловіча,1962-09-08,Підприємець,місто Волноваха,"шосе Радіальна, буд. 0 кв. 8, Харків, 96666",+380 (82) 612-96-66,vyshyvanasolomon@example.net
Власюк,Болеслав,Лукʼянович,Чоловіча,1951-02-05,Каскадер,село Суходільськ,"вулиця Мала Арнаутська, буд. 4, Надвірна, 08442",+380 03 777 51 53,maryna28@example.net
Яковенко,Владислав,Олександрович,Чоловіча,1996-12-21,Бізнесмен,хутір Каховка,"сквер Удільний, буд. 9, Миколаїв, 31941",463 48 95,lytvynkhrystyna@example.com
Затовканюк,Розалія,Євгенівна,Жіноча,1978-12-06,Головний меркшейдер,місто Скадовськ,"проспект Хімічний 3-й, буд. 00, Миронівка, 44321",454-50-04,pryimakvarvara@example.net
Демʼянюк,Пармен,Дмитрович,Чоловіча,1978-11-25,Мірошник,місто Ананьїв,"сквер Тиха, буд. 56, Марганець, 49261",153 49 75,klavdiia07@example.net
Ґжицький,Роман,Олександрович,Чоловіча,1965-07-06,Клавішник,селище Стрий,"вулиця Стельмаха, буд. 30, Козятин, 37633",+380 12 332 63 57,larysadubyna@example.org
Ребрик,Борис,Яремович,Чоловіча,1956-05-30,Електромонтер,село Берегове,"сквер Цебриківська, буд. 6 кв. 342, Перечин, 66449",055 387-89-50,iarynasliusar@example.com
Артим,Єлисей,Ярославович,Чоловіча,1988-08-14,Лікар,місто Баштанка,"провулок Рабіна Іцхака, буд. 66, Отаманівка, 40053",+380 01 350-48-72,bashtanboleslav@example.net
Іващенко,Богуслава,Олегівна,Жіноча,1968-09-15,Пілот,місто Світловодськ,"узвіз Чорноморка, буд. 68, Кам'янка (Черкаська область), 15124",+380 81 300-98-99,lysenkovadym@example.org
Кабаненко,Наталія,Ааронівна,Жіноча,1960-09-26,Журналіст,селище Жовква,"сквер Університетський, буд. 8, Середина-Буда, 87202",+380 71 517-94-75,telychenkodavyd@example.net
Артим,Єлисавета,Єлисеївна,Жіноча,1950-06-28,Музичний редактор,село Ясинувата,"сквер Мазепи Івана, буд. 5 кв. 12, Рожище, 41445",000 573-63-05,boleslavzasiadko@example.com
Ємельяненко,Петро,Остапович,Чоловіча,1951-05-14,Ріелтор,місто Старий Крим,"площа Новощіпний ряд, буд. 1 кв. 85, Скадовськ, 54063",+380 29 506 34 78,stefan83@example.com
